id	page	violation
I302	17	If prior to the start of the MATCH, the team is DISQUALIFIED and not eligible toparticipate in  the MATCH. If after the start of the MATCH, the team receives a REDCARD for that MATCH.
I304	17	ROBOT must be inspected before participating in a MATCH or the team will receive a RED  CARD.
I307	18	Inspection will not continue until a STUDENT is present.   Universal Violation Note: A violation of any Event Rules (E) will result in a verbal warning. Egregious or  subsequent violations will be addressed by the Head REFEREE, the lead ROBOT INSPECTOR (LRI) and/or  Event Director and may result in disqualification for the team from MATCHES and awards. Criminal  behavior will not be tolerated and will result in removal of individual(s) involved and/or disqualification for  the team from the event.
E105	22	Failure to check in may result in a team not participating in the event.
E302	25	Verbal warning, plus subsequent and/or egregious violations may lead to dismissal from the  event and/or legal action based on applicable laws.
E504	26	Any items that are deemed unsafe or outside specifications by FIRST personnel and/or the  Event Director must be removed.
E505	26	Teams will be asked to remove or not bring in floor standing power tools. Any items that are  deemed unsafe or outside specifications by FIRST personnel and/or Event Director must be removed.
E506	26	Teams will be asked to remove or not bring in brazing/welding tools. Any items that are  deemed unsafe or outside specifications by FIRST personnel, and/or Event Director must be removed.
E507	26	Any items that are deemed unsafe or outside specifications by FIRST personnel and/or the  Event Director must be removed.
E508	26	Any pit structures that are deemed unsafe or outside specifications by FIRST personnel and/or  the Event Director must be removed.
E509	26	Any pit structures that are deemed unsafe or outside specifications by FIRST personnel and/or  the Event Director must be removed.
E510	26	Any items that are deemed unsafe or outside specifications by FIRST personnel and/or the  Event Director must be removed.
G101	71	Verbal warning plus YELLOW CARD if subsequent violations occur during the event.
G102	71	Verbal warning plus YELLOW CARD if subsequent violations occur during the event.
G201	71	Verbal warning plus YELLOW CARD if subsequent violations occur during the event. Further  violations of this rule are addressed in rule G211.
G202	72	Verbal warning plus YELLOW CARD if subsequent violations occur during the event.
G203	72	Verbal warning plus YELLOW CARD if subsequent violations occur during the event.
G204	72	Verbal warning plus YELLOW CARD if subsequent violations occur during the event.
G205	73	Verbal warning plus YELLOW CARD if subsequent violations occur during the event.
G206	73	Verbal warning plus YELLOW CARD if subsequent violations occur during the event.
