id	page	violation
I302	19	VERBAL WARNING. RED CARD if not corrected.
I303	19	If prior to the start of the MATCH, the team is DISQUALIFIED and not eligible toparticipate in  the MATCH. If after the start of the MATCH, the team receives a REDCARD for that MATCH.
I305	20	ROBOT must be inspected before participating in a MATCH or the team will receive a RED  CARD.
I308	21	Inspection will not continue until a STUDENT is present.   Universal Violation Note: A violation of any Event Rules (E) will result in a warning from event  volunteers. Egregious or repeated violations of an Event Rule will be addressed with a VERBAL WARNING  from the Head REFEREE, the Lead ROBOT INSPECTOR (LRI) and/or Event Director. Subsequent violations  of an Event Rule may result in escalation to FIRST Headquarters and/or disqualification for the team from  MATCHES and awards. Criminal behavior will not be tolerated and will result in removal of individual(s)  involved and/or disqualification for the team from the event.    Any items that are deemed unsafe or outside specifications by FIRST personnel and/or the Event Director  must be removed.   Additional rule specific violations, if applicable, are listed with their corresponding rule.
E105	31	Failure to check in may result in a team not participating in the event.
G101	95	VERBAL WARNING.
G102	95	VERBAL WARNING. YELLOW CARD if subsequent violations occur during the event.
G201	95	VERBAL WARNING. YELLOW CARD if subsequent violations occur during the event.
G202	96	VERBAL WARNING. YELLOW CARD if subsequent violations occur during the event.
G203	96	VERBAL WARNING. RED CARD if subsequent violations occur during the event.
G204	96	VERBAL WARNING. RED CARD if subsequent violations occur during the event.
G205	97	VERBAL WARNING. RED CARD if subsequent violations occur during the event.
G206	97	YELLOW CARD and the ALLIANCE is ineligible for PATTERN and GOAL RPs
G207	97	VERBAL WARNING. YELLOW CARD if subsequent violations occur during the event.
G208	98	DISQUALIFIED from the current MATCH.
G209	98	RED CARD.
G210	98	MINOR FOUL. MAJOR FOUL if REPEATED. The ALLIANCE that was forced to break a rule will  not be assessed a penalty.
G211	98	YELLOW or RED CARD.
G212	99	YELLOW CARD. RED CARD if the ROBOT does not participate in the MATCH
G301	99	If a Qualification MATCH: VERBAL WARNING. MAJOR FOUL for the upcoming MATCH if a subsequent  violation occurs within the tournament phase. If the DRIVE TEAM is not MATCH ready within 2 minutes of  the VERBAL WARNING/MAJOR FOUL, and the Head REFEREE perceives no good faith effort by the DRIVE  TEAM to quickly become MATCH ready, DISABLED.   If a Playoff MATCH: a VERBAL WARNING is issued to the ALLIANCE. MAJOR FOUL for the ALLIANCE'S  upcoming MATCH if a subsequent violation occurs within the tournament phase. If the ALLIANCE is not  MATCH ready within 2 minutes of the VERBAL WARNING/MAJOR FOUL having been issued, and the  Head REFEREE perceives no good faith effort by the DRIVE TEAM(s) to quickly become MATCH ready, the  offending team's ROBOT is DISABLED.
G302	100	MATCH will not start until the situation is remedied. YELLOW CARD, if discovered or used  inappropriately during a MATCH.
G303	101	The MATCH will not start until all requirements are met if there is a quick remedy. DISABLED if  it is not a quick remedy, and, at the discretion of the Head REFEREE, ROBOT must be re-inspected. RED  CARD if a team's ROBOT is not compliant with part B or C participates.
G304	102	The MATCH will not start until all requirements are met if there is a quick remedy. DISABLED if  it is not a quick remedy.
G305	103	MATCH will not start until the situation is remedied. DISABLED if ROBOT cannot initialize an  OpMode or the situation cannot be remedied quickly.
G401	103	MAJOR FOUL plus the ALLIANCE is not eligible for PATTERN points in AUTO if the ROBOT  LAUNCHES an ARTIFACT such that it enters the open top of the GOAL after the interaction and before the  end of AUTO.
G402	104	MAJOR FOUL per instance of ROBOT contact in G402.A and MAJOR FOUL per ARTIFACT in
G403	105	MAJOR FOUL.
G404	105	MINOR FOUL. MAJOR FOUL per ARTIFACT if ROBOT LAUNCHES an ARTIFACT such that it  enters the open top of a GOAL after the end of TELEOP. MAJOR FOUL if ROBOT contacts a GATE after  the end of TELEOP.
G405	105	MAJOR FOUL per SCORING ELEMENT.
G406	106	MAJOR FOUL per SCORING ELEMENT.
G407	106	VERBAL WARNING. MAJOR FOUL if REPEATED. DISABLED if the damage is caused by a  ROBOT, and the Head REFEREE determines that further damage is likely to occur. Corrective action (such  as eliminating sharp edges, removing the damaging MECHANISM, and/or reinspection) may be required  before the ROBOT may compete in subsequent MATCHES.
G408	106	MINOR FOUL per SCORING ELEMENT over the limit. YELLOW CARD if excessive.
G409	107	DISABLED and VERBAL WARNING. YELLOW CARD if REPEATED or if subsequent violations  occur during the event.
G410	107	MAJOR FOUL if greater-than-MOMENTARY delay plus RED CARD if CONTINUOUS.
G411	107	VERBAL WARNING. MINOR FOUL if subsequent violations occur during the event.
G412	107	VERBAL WARNING. DISABLED if the Head REFEREE infers that additional damage is likely.  YELLOW CARD for any subsequent damage during the event. Corrective action (such as eliminating sharp  edges, removing the damaging MECHANISM, and/or re-inspection) may be required before the ROBOT  will be allowed to compete in subsequent MATCHES.
G413	108	MAJOR FOUL plus YELLOW CARD if REPEATED or if greater-than-MOMENTARY. DISABLED if  the Head REFEREE infers that damage is likely. Corrective action (such as removing the offending  MECHANISM, and/or re-inspection) may be required before the ROBOT will be allowed to compete in  subsequent MATCHES.
G414	108	MINOR FOUL. MAJOR FOUL if the over-expansion is used for strategic benefit, including if it  impedes or enables a scoring action.
G415	108	MINOR FOUL. MAJOR FOUL if the over-expansion is used for strategic benefit, including if it  impedes or enables a scoring action.
G416	109	MINOR FOUL per LAUNCHED SCORING ELEMENT. MAJOR FOUL per LAUNCHED SCORING  ELEMENT if the SCORING ELEMENT enters the open top of the GOAL.
G417	109	MAJOR FOUL and the opposing ALLIANCE is awarded the PATTERN RP if G417.A.
G418	109	MAJOR FOUL per ARTIFACT,and the ALLIANCE is ineligible for the PATTERN RP if G418.A, or  the opposing ALLIANCE is awarded the PATTERN RP if G418.B.
G419	110	MAJOR FOUL per ARTIFACT and the opposing ALLIANCE is awarded the PATTERN RP if
G420	110	MAJOR FOUL and YELLOW CARD. MAJOR FOUL and RED CARD if opponent ROBOT is unable  to drive.
G421	111	MAJOR FOUL and YELLOW CARD. MAJOR FOUL and RED CARD if CONTINUOUS or opponent  ROBOT is unable to drive.
G422	112	MINOR FOUL and an additional MINOR FOUL for every 3 seconds in which the situation is not  corrected.
G423	112	MINOR FOUL and an additional MINOR FOUL for every 3 seconds in which the situation is not  corrected.
G424	112	MINOR FOUL.
G425	113	MINOR FOUL.
G426	113	MINOR FOUL.
G427	114	MAJOR FOUL and opponent ROBOT and any ROBOT fully supported by the contacted ROBOT  are awarded fully returned to BASE points.
G428	114	VERBAL WARNING. MINOR FOUL if subsequent violations occur during the event.
G429	115	MAJOR FOUL. YELLOW CARD if greater-than-MOMENTARY.
G430	115	MINOR FOUL.
G431	115	MAJOR FOUL plus YELLOW CARD if G431.A. RED CARD and the opposing ALLIANCE is  awarded the PATTERN RP if G431.C.
G432	116	MINOR FOUL per ARTIFACT. MAJOR FOUL per ARTIFACT that enters the open top of the GOAL.
